comment,sentiment
"现有并网风电站低电压穿越测试装置采用电抗器投切的方式模拟测试点电压故障,在实验过程中断路器投切大电感负载时会产生频率较高幅值较大的暂态操作过电压,严重危害电力设备安全。为此,文中以风电站内现有蓄电池组和超级电容器组成的混合储能设备为基础,应用状态平均法建立并网风电站数学模型,提出对混合储能设备电压、电流环分别进行控制的改进模糊自适应PID控制方法,借此实现对测试实验过程中暂态过电压的优化控制。通过在MATLAB平台与常规型PID控制策略的同类系统对比分析表明,采用改进模糊自适应PID控制策略的混合储能设备具有更短的暂态过电压动态响应时间与更强的稳定性,能够有效抑制过电压,保障测试实验过程中设备的安全运行。",1
"传统的二、三电平变换器无法满足高电压、大容量光伏发电系统的要求,因此提出一种基于模块化多电平拓扑(MMC)的光伏发电系统。在此系统中,光伏阵列通过Boost电路后集成于MMC的各个子模块中,这样将有效地降低了开关管的电流应力和电压应力,并且增加了系统的电压和容量。针对系统的控制策略进行研究,通过改变子模块Boost电路中开关管的占空比来稳定子模块电容电压,并网系统的MPPT控制和并网控制则通过逆变电路来实现。此外,提出了该系统的保护控制策略。最后,搭建基于MMC光伏并网发电系统的仿真模型和实验样机,仿真和实验结果有效地证明了控制策略的正确性。",0
"随着直流微电网系统的广泛应用,其控制技术得到不断关注。直流微电网系统由光伏阵列、电动汽车充换站、大电网及其接口变换器构成。针对其结构特点,采用一种能量协调控制策略以维持直流母线的电压稳定。该控制策略根据直流微电网中母线电压信息(DBS)进行运行模式划分,不同运行模式下,直流微电网各单元的控制策略可进行无缝切换,实现系统协调自治。采用下垂控制实现对多个光伏阵列或者电动汽车蓄电池模块的功率均分。仿真结果表明,直流母线电压保持稳定的同时,直流微电网系统能够在并离网不同模式间进行平滑切换,验证了控制策略的可行性与有效性。",0
"传统桥路型超导故障限流器存在诸多不足。文中提出了一种组合型桥路超导故障限流器的设计。在阐述其工作原理的基础之上给出了主要的参数设计;根据应用工况在仿真软件MATLAB中对其性能进行仿真验证。结果证明:组合型桥路超导限流器可有效限制短路电流;基于网侧电流幅值的控制策略可有效控制超导线圈的投切。由于组合型桥路超导故障限流器的优异性能,将其作为超导储能限流系统的设计方案。",0
"在风火打捆交直流输送过程中,当交流线路因故障而退出运行时其运行方式将变为纯直流外送,若不及时切换控制策略则送端将会有功率剩余,这将使得电压的幅值和送端系统的频率持续上升,同时功角也会失去稳定,影响系统运行。为了解决该问题,文中首先对交直流混合输送和纯直流输送的控制策略分别进行了研究分析和论述,然后根据故障后电气量的变化,提出了一种检测频率和电压的变化而进行运行方式切换的策略,并在仿真平台上搭建模型。研究表明,该策略能快速检测到相位偏移并及时检测频率变化以此为据进行控制策略的切换,同时切换后能维护系统频率和交流系统电压的稳定,最后当交流线路故障清除,电气量恢复至原水平,则将运行方式转换为原先的交直流运行。",0
"文中就高压断路器用液压弹簧操动机构的储能电机(简称电机)为研究对象,针对液压弹簧机构不同工况下的电机运行情况进行了试验和测试对比,尤其对机构出现频繁打压的工况时,对电机的工作状态进行了分析对比,为现场产品的运行维护提供了参考依据。",0
"对一个实际地区电网使用序贯蒙特卡洛法开展可靠性评估研究。该电网具有煤电装机容量大,风电、光伏等新能源装机容量不断增长,冬季需满足供热需求等特点。针对上述特点,通过对新能源以及供热约束的建模,在可靠性评估计及了风电、光伏等新能源随机波动性和冬季供暖需求的影响,同时考虑了优先接纳新能源这一原则的影响。采用时序蒙特卡洛模拟法进行可靠性评估,得到系统以及节点的一系列可靠性指标,同时利用可靠性评估的结果找到系统的薄弱环节,并提出改善运行情况的建议。",1
"为解决风电场与电网间发生的次同步振荡现象,保证风电场与电网的稳定运行,经研究发现,利用现有的同步相量测量装置(phasor measurement unit,PMU)监测次同步谐波是解决次同步振荡问题的有效途径。文中以新疆哈密某风电场为例,首先通过PMU记录的电流幅值数据频谱分析次同步振荡产生的主要频段,接着对次同步谐波分量产生机理进行分析以及锁相环节进行仿真验证。结果表明,PMU数据频谱分析得出的振荡频段与锁相环节仿真验证结果相吻合,从而验证了该方法的有效性。该研究结果可为风电场次同步振荡的理论研究和工程实际提供参考依据。",1
"特高压直流穿墙套管是换流站的重要设备,地震易损性高。本文为评估穿墙套管的抗震性能,首先建立了±800kV穿墙套管有限元模型并进行了地震响应分析,针对其响应过大不满足工程要求的问题,提出了在穿墙套管根部布置金属摩擦阻尼器的减震方案,并对带有减震阻尼器的穿墙套管进行了地震响应分析,对比了未安装和安装阻尼器的穿墙套管在地震下的响应。分析结果表明:安装金属摩擦阻尼器能有效降低穿墙套管顶部加速度和根部应力,顶部加速度响应平均减小了34%,根部应力平均降低了54%,振动控制效果明显。减震后的穿墙套管可满足抗震设计要求,故增设阻尼器可大幅度提高穿墙套管的抗震性能。",0
"金属化膜电容器具有自愈特性,可用于较高的工作场强,具有较高的工作稳定性和储能密度。目前,金属化膜电容器在低压交直流滤波、脉冲放电领域已得到较为广泛的应用。而高压交流滤波领域目前还应用较少。文中的研究对象为应用于交流无功补偿场合的金属化膜电容器。由于温度过高会影响电容器运行稳定性和使用寿命,因此有必要对其运行时的温升特性进行研究,并基于降低电容器内部温升对其进行优化设计。分析了电容器内部的热传导过程,计算了电容器内部发热和表面散热,建立有限元仿真模型,对其在通过交流电流的情况下的内部温升进行了计算,并通过实验验证了计算模型的正确性。在此基础上,对电容器的结构和参数进行了优化设计。研究结果表明:在合适的范围内采用较厚的金属化膜,较小的膜宽和元件喷金端对外壳大面摆放有利于降低电容器内部温升。",0
